pre_path,post_path,mapping_status,mapping_source,site_section,page_group,content_group,page_type,page_name,xlsx_notes,pre_in_crawl,pre_word_count,pre_indexable,pre_title,pre_h1,pre_has_text,pre_has_source,pre_has_embedding,post_in_crawl,post_word_count,post_indexable,post_title,post_h1,post_has_text,post_has_source,post_has_embedding
/vacation-packages/disney/disney-cruise-line,/vacation-packages/cruises/disney-cruise-line,SAME,XLSX,Vacation Packages,Tour Supplier,Vacation Packages,Supplier,Disney Cruise,,TRUE,,Indexable,Disney Cruise Line | AMA Travel,Disney Cruise Line,TRUE,TRUE,TRUE,TRUE,203,Non-Indexable,AMA Travel Website,,TRUE,TRUE,FALSE
/travel-medical-insurance/snowbird,/travel-insurance/snowbird,CHANGED,XLSX,Travel Insurance,Insurance,Insurance,Detail,Snowbird Insurance,,TRUE,,Indexable,Snowbird Travel Insurance Plans & Quotes | AMA Travel,Snowbird Travel Medical Insurance Benefits,TRUE,TRUE,TRUE,TRUE,203,Non-Indexable,AMA Travel Website,,TRUE,TRUE,FALSE
/articles/best-golf-courses-nw-ireland,/articles/best-golf-courses-nw-ireland,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,10 Best Golf Courses in Ireland’s Northwest | AMA Travel,10 Best Golf Courses in Ireland’s Northwest,TRUE,TRUE,TRUE,TRUE,1846,Indexable,10 Best Golf Courses in Ireland’s Northwest,10 Best Golf Courses in Ireland’s Northwest,TRUE,TRUE,TRUE
/articles/must-see-spots-jasper-national-park,/articles/must-see-spots-jasper-national-park,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,10 Must-See Spots in Jasper National Park | AMA Travel,10 Must-See Spots in Jasper National Park,TRUE,TRUE,TRUE,TRUE,2673,Indexable,10 Things to Do in Jasper National Park,10 Things to Do in Jasper National Park,TRUE,TRUE,TRUE
/articles/10-questions-when-planning-your-destination-wedding,/articles/10-questions-when-planning-your-destination-wedding,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,10 Questions To Ask Yourself When Planning Your Destination Wedding,10 Questions To Ask Yourself When Planning Your Destination Wedding,TRUE,TRUE,TRUE,TRUE,1088,Indexable,10 Questions To Ask When Planning Your Destination Wedding,10 Questions To Ask Yourself When Planning Your Destination Wedding,TRUE,TRUE,TRUE
/articles/11-things-didnt-know-you-could-do-asia,/articles/11-things-didnt-know-you-could-do-asia,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,11 Things You Didn’t Know You Could Do in Asia | AMA Travel,11 Things You Didn’t Know You Could Do in Asia,TRUE,TRUE,TRUE,TRUE,1368,Indexable,11 Things You Didn’t Know You Could Do in Asia,11 Things You Didn’t Know You Could Do in Asia,TRUE,TRUE,TRUE
/articles/royal-caribbeans-symphony-of-the-seas-a-fantastic-family-retreat,/articles/royal-caribbeans-symphony-of-the-seas-a-fantastic-family-retreat,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,12 family activities on a Symphony of the Seas Cruise | AMA Travel,Royal Caribbean’s Symphony of the Seas – A Fantastic Family Retreat,TRUE,TRUE,TRUE,TRUE,2655,Indexable,12 Family Activities on a Symphony of the Seas Cruise,Royal Caribbean’s Symphony of the Seas – A Fantastic Family Retreat,TRUE,TRUE,TRUE
/articles/california-road-trip-stops,/articles/california-road-trip-stops,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,12 Places to Stop on California’s Pacific Coast Highway | AMA Travel,12 Road Trip Stops on California’s Pacific Coast Highway,TRUE,TRUE,TRUE,TRUE,1496,Indexable,California Coast Road Trip Itinerary (12 Stops),California Coast Road Trip Itinerary,TRUE,TRUE,TRUE
/articles/must-visit-wyoming-parks,/articles/must-visit-wyoming-parks,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,14 Must-Visit Parks in Wyoming (that aren’t Yellowstone) | AMA Travel,14 Must-Visit Parks in Wyoming (that aren’t Yellowstone),TRUE,TRUE,TRUE,TRUE,2731,Indexable,14 Must-Visit Parks in Wyoming (That Aren’t Yellowstone),14 Must-Visit Parks in Wyoming (That Aren’t Yellowstone),TRUE,TRUE,TRUE
/articles/must-eat-places-in-jasper,/articles/must-eat-places-in-jasper,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,14 Restaurants in Jasper You Must Try | AMA Travel,14 Must-Eat Places in Jasper National Park,TRUE,TRUE,TRUE,TRUE,1180,Indexable,10 Restaurants in Jasper You Must Try,10 Must-Eat Places in Jasper National Park,TRUE,TRUE,TRUE
/articles/17-fast-facts-about-dominican-republic,/articles/17-fast-facts-about-dominican-republic,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,17 Fast Facts About the Dominican Republic | AMA Travel,17 Fast Facts About the Dominican Republic,TRUE,TRUE,TRUE,TRUE,1538,Indexable,17 Interesting Facts About the Dominican Republic,17 Fun Facts About the Dominican Republic,TRUE,TRUE,TRUE
/articles/4-reasons-albertans-love-utah,/articles/4-reasons-albertans-love-utah,SAME,XLSX,Articles,Articles,Content,Article,,,TRUE,,Indexable,4 Reasons Albertans Love Utah | AMA Travel,4 Reasons Albertans Love Utah,TRUE,TRUE,TRUE,TRUE,2508,Indexable,4 Reasons Albertans Love Utah,4 Reasons Albertans Love Utah,TRUE,TRUE,TRUE
